epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.215,1.7106,2.10512,1.57446,0.36655,0.40744,0.30937,0.13217,1.92065,2.51888,1.88867,0.000553408,0.000553408,0.000553408
2,200.279,1.77922,1.86098,1.62517,0.46004,0.42839,0.39792,0.16657,1.93046,1.95447,1.73015,0.00108711,0.00108711,0.00108711
3,291.488,1.78147,1.85671,1.6307,0.46256,0.40801,0.37667,0.14735,1.99992,2.09986,1.75751,0.00159882,0.00159882,0.00159882
4,383.687,1.74754,1.79497,1.60177,0.44998,0.46901,0.40998,0.18302,1.88358,1.81383,1.6922,0.00156798,0.00156798,0.00156798
5,475.258,1.70402,1.72541,1.57901,0.46356,0.44413,0.39551,0.18169,1.87019,1.95425,1.72206,0.00153497,0.00153497,0.00153497
6,568.662,1.66721,1.66197,1.54524,0.56349,0.52252,0.52839,0.25765,1.72017,1.56832,1.55508,0.00150197,0.00150197,0.00150197
7,662.654,1.62731,1.5887,1.51369,0.54116,0.50833,0.50878,0.25323,1.74032,1.61283,1.605,0.00146896,0.00146896,0.00146896
8,755.361,1.59255,1.53425,1.49109,0.57079,0.5231,0.52691,0.25216,1.77116,1.56188,1.62134,0.00143595,0.00143595,0.00143595
9,847.11,1.59329,1.50238,1.48952,0.5805,0.53731,0.55434,0.2701,1.71774,1.54864,1.54658,0.00140295,0.00140295,0.00140295
10,938.355,1.55503,1.4501,1.45426,0.53882,0.49898,0.5254,0.26209,1.6483,1.59499,1.51801,0.00136994,0.00136994,0.00136994
11,1029.42,1.53644,1.42787,1.44647,0.65217,0.53811,0.6071,0.31916,1.59255,1.38482,1.46373,0.00133693,0.00133693,0.00133693
12,1121.62,1.50857,1.37881,1.42452,0.66096,0.57739,0.62983,0.32969,1.59171,1.33064,1.46269,0.00130393,0.00130393,0.00130393
13,1215.16,1.50993,1.36602,1.42982,0.65862,0.59071,0.63426,0.32762,1.61287,1.35833,1.47134,0.00127092,0.00127092,0.00127092
14,1306.86,1.48504,1.33431,1.4121,0.65986,0.60876,0.65141,0.34221,1.59272,1.29709,1.45131,0.00123791,0.00123791,0.00123791
15,1400.11,1.46942,1.28703,1.39751,0.69007,0.60926,0.6748,0.364,1.53495,1.24955,1.41736,0.00120491,0.00120491,0.00120491
16,1491.28,1.44548,1.28286,1.38189,0.68008,0.60903,0.66353,0.36757,1.47918,1.27074,1.3852,0.0011719,0.0011719,0.0011719
17,1582.95,1.42362,1.24096,1.37339,0.69712,0.62507,0.68236,0.37929,1.49414,1.18152,1.39219,0.00113889,0.00113889,0.00113889
18,1673.75,1.41781,1.22019,1.36406,0.6952,0.61545,0.67687,0.36831,1.54892,1.22569,1.43587,0.00110589,0.00110589,0.00110589
19,1764.26,1.41191,1.19375,1.35864,0.67486,0.65002,0.7007,0.39452,1.49593,1.14963,1.39795,0.00107288,0.00107288,0.00107288
20,1856.02,1.3747,1.15371,1.33193,0.68621,0.67269,0.7126,0.39975,1.46117,1.11599,1.36999,0.00103987,0.00103987,0.00103987
21,1946.62,1.36511,1.13247,1.32372,0.72509,0.63876,0.71313,0.39058,1.51121,1.13499,1.40032,0.00100687,0.00100687,0.00100687
22,2036.83,1.37039,1.11841,1.33247,0.70905,0.69214,0.73033,0.4171,1.45918,1.0822,1.37466,0.000973861,0.000973861,0.000973861
23,2129.04,1.33606,1.08961,1.31097,0.71581,0.67181,0.72867,0.41128,1.45193,1.07344,1.36732,0.000940855,0.000940855,0.000940855
24,2219.77,1.33475,1.07137,1.31794,0.72579,0.66976,0.73016,0.41526,1.45757,1.0742,1.36456,0.000907848,0.000907848,0.000907848
25,2310.31,1.31553,1.04958,1.29831,0.73675,0.68797,0.74256,0.43794,1.4044,1.01564,1.34391,0.000874842,0.000874842,0.000874842
26,2401.94,1.29455,1.01714,1.28397,0.74978,0.68065,0.74653,0.43462,1.41098,1.03291,1.34622,0.000841835,0.000841835,0.000841835
27,2492.97,1.27933,1.00645,1.26977,0.74136,0.69646,0.75332,0.44112,1.38612,1.01505,1.33181,0.000808828,0.000808828,0.000808828
28,2584.59,1.27855,0.9941,1.27448,0.74462,0.70814,0.76858,0.45777,1.37489,0.98326,1.31389,0.000775822,0.000775822,0.000775822
29,2675.15,1.25597,0.97292,1.2551,0.76909,0.70403,0.77245,0.46056,1.35751,0.96724,1.30026,0.000742815,0.000742815,0.000742815
30,2765.66,1.24851,0.97005,1.24935,0.7542,0.71233,0.77513,0.45323,1.3789,0.96304,1.30942,0.000709809,0.000709809,0.000709809
31,2856.48,1.23222,0.92916,1.23337,0.78928,0.71472,0.78428,0.46965,1.34354,0.92702,1.29219,0.000676802,0.000676802,0.000676802
32,2946.57,1.22461,0.92193,1.2364,0.77516,0.71492,0.78396,0.48306,1.32878,0.92053,1.2776,0.000643795,0.000643795,0.000643795
33,3036.26,1.18188,0.88368,1.21247,0.79083,0.71683,0.7916,0.48294,1.32029,0.92145,1.28619,0.000610789,0.000610789,0.000610789
34,3126.53,1.18065,0.8848,1.20859,0.80385,0.74328,0.80763,0.49177,1.30793,0.88051,1.25911,0.000577782,0.000577782,0.000577782
35,3218.78,1.15507,0.85158,1.1919,0.79442,0.72363,0.80512,0.49373,1.31551,0.88679,1.27039,0.000544776,0.000544776,0.000544776
36,3311.65,1.15119,0.83662,1.19302,0.77981,0.75443,0.81224,0.50488,1.2753,0.84927,1.229,0.000511769,0.000511769,0.000511769
37,3404.43,1.13834,0.82174,1.18306,0.82092,0.74946,0.82656,0.5164,1.26401,0.83938,1.22914,0.000478762,0.000478762,0.000478762
38,3495.19,1.12391,0.81796,1.17504,0.83918,0.7522,0.8384,0.52791,1.24752,0.81603,1.22509,0.000445756,0.000445756,0.000445756
39,3584.72,1.11271,0.7932,1.16973,0.81133,0.75495,0.82947,0.52378,1.23354,0.79912,1.21264,0.000412749,0.000412749,0.000412749
40,3676.51,1.09767,0.77227,1.15807,0.84292,0.76862,0.84676,0.54602,1.21048,0.76222,1.202,0.000379743,0.000379743,0.000379743
41,3767.32,1.10401,0.74159,1.15862,0.81899,0.77195,0.83707,0.5339,1.23233,0.78826,1.21391,0.000346736,0.000346736,0.000346736
42,3855.89,1.06462,0.68508,1.13154,0.82986,0.77928,0.84705,0.54782,1.20972,0.75746,1.20377,0.000313729,0.000313729,0.000313729
43,3944.2,1.04759,0.66644,1.11795,0.85553,0.78608,0.85679,0.5582,1.20322,0.74204,1.19798,0.000280723,0.000280723,0.000280723
44,4033.87,1.01854,0.64016,1.10673,0.83207,0.7867,0.85487,0.56056,1.18665,0.72045,1.19376,0.000247716,0.000247716,0.000247716
45,4121.82,1.00058,0.61927,1.09306,0.83218,0.79913,0.85575,0.56252,1.18231,0.73294,1.1851,0.00021471,0.00021471,0.00021471
46,4209.92,0.98762,0.61233,1.08547,0.84934,0.79919,0.86427,0.5706,1.1657,0.71246,1.17541,0.000181703,0.000181703,0.000181703
47,4297.84,0.96579,0.58371,1.07481,0.8688,0.78516,0.86564,0.57928,1.14396,0.69904,1.16248,0.000148696,0.000148696,0.000148696
48,4386.62,0.94127,0.57074,1.05782,0.86942,0.79556,0.87153,0.57927,1.1441,0.69834,1.15841,0.00011569,0.00011569,0.00011569
49,4475.05,0.94321,0.56993,1.05852,0.85258,0.81999,0.87621,0.5878,1.13116,0.67289,1.15549,8.26832e-05,8.26832e-05,8.26832e-05
50,4562.43,0.92012,0.55211,1.0494,0.87542,0.80313,0.87575,0.58998,1.12963,0.66765,1.15703,4.96766e-05,4.96766e-05,4.96766e-05
